Termék ID,Termék név,Leírás,Image,Kategória,Gyártó,Adagolás,Alkatrész Típus,Szigelés Típus,Gyári Kód,Szigetelésmegfogó Típusa,Konektor Típusa,Saru Típusa,Date,Minőség,Alkatrész Hely
40107.00.33,N1,"F , 2 MOZGÓ ÜLLŐ",Products_Images/40107.00.33.Image.174934.jpg,Saruzófej,Mecal,Oldal,,Nem Gumis,MLS0185-J,F,,,,,Alkatrész A1
40107.00.34,N3,,Products_Images/40107.00.34.Image.175230.jpg,Saruzófej,Mecal,Oldal,,Nem Gumis,MLS0383-J,,,,,,Alkatrész A3
40103.00.37,N4,Nincs Szig.,Products_Images/40103.00.37.Image.175314.jpg,Saruzófej,Kormak,Hátsó,,Nem Gumis,MK10L,,,,,,Alkatrész A4
40107.00.36,N5,,Products_Images/40107.00.36.Image.175323.jpg,Saruzófej,Mecal,Hátsó,,Nem Gumis,MF0751-J,,,,,,Alkatrész A5
40107.00.37,N6,,Products_Images/40107.00.37.Image.175333.jpg,Saruzófej,Mecal,Oldal,,Gumis,MLS0914-JGB,,,,,,Alkatrész A6
40107.00.38,N7,"O+H ,  2 MOZGÓ ÜLLŐ",Products_Images/40107.00.38.Image.065515.jpg,Saruzófej,Mecal,Oldal,,Nem Gumis,MLS0137-J,O,,,,,A1-B
40107.00.39,N8,,Products_Images/40107.00.39.Image.065537.jpg,Saruzófej,Mecal,Oldal,,Gumis,MLS0942-JGA,O,,,,,Alkatrész B1
40107.00.40,N9,,Products_Images/40107.00.40.Image.065547.jpg,Saruzófej,Mecal,Oldal,,Gumis,MLS1050-JGA,O,,,,,Alkatrész B2
40107.00.41,N10,,Products_Images/40107.00.41.Image.065626.jpg,Saruzófej,Mecal,Oldal,,Nem Gumis,MLS0032-J,F,,,,,Alkatrész B3
40107.00.42,N11,,Products_Images/40107.00.42.Image.065636.jpg,Saruzófej,Mecal,Hátsó,,Nem Gumis,MF0404-JA,F,,,,,Alkatrész B4
40107.00.43,N12,,Products_Images/40107.00.43.Image.065812.jpg,Saruzófej,Mecal,Hátsó,,Nem Gumis,MF0015-JB,F,,,,,Alkatrész B5
40107.00.44,N13,,Products_Images/40107.00.44.Image.065824.jpg,Saruzófej,Mecal,Oldal,,Nem Gumis,MLS0356-JA,F,,,,,Alkatrész R1
40107.00.45,N15,,Products_Images/40107.00.45.Image.065836.jpg,Saruzófej,Mecal,Oldal,,Gumis,MLS0251-JGA,O,,,,,Alkatrész B6
40107.00.46,N16,,Products_Images/40107.00.46.Image.065847.jpg,Saruzófej,Mecal,Hátsó,,Nem Gumis,MF0007-J,F,,,,,Alkatrész B7
40107.00.47,N17,,Products_Images/40107.00.47.Image.065900.jpg,Saruzófej,Mecal,Hátsó,,Nem Gumis,MF0105-JC,F,,,,,Alkatrész C1
40107.00.48,N18,,Products_Images/40107.00.48.Image.065914.jpg,Saruzófej,Mecal,Hátsó,,Nem Gumis,MF0118-J,F,,,,,Alkatrész C2
40107.00.49,N19,,Products_Images/40107.00.49.Image.070030.jpg,Saruzófej,Mecal,Hátsó,,Nem Gumis,MF0009-JC,F,,,,,Alkatrész C3
40107.00.50,N20,,Products_Images/40107.00.50.Image.070041.jpg,Saruzófej,Mecal,Oldal,,Nem Gumis,MLS0614-JWC,F,,,,,Alkatrész C4
40107.00.51,N21,,Products_Images/40107.00.51.Image.070056.jpg,Saruzófej,Mecal,Oldal,,Nem Gumis,,F,,,,,Alkatrész C5
40107.00.52,N22,,Products_Images/40107.00.52.Image.070107.jpg,Saruzófej,Mecal,Oldal,,Nem Gumis,MLS0020-JC,F,,,,,Alkatrész C6
40107.00.53,N24,,Products_Images/40107.00.53.Image.070117.jpg,Saruzófej,Mecal,Oldal,,Nem Gumis,MLS0555-JC,O,,,,,Alkatrész C7
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ME.911330114,ELSŐ MOZGÓ ÜLLŐ,,,Saruzófej Alkatrész,Mecal,,MOZGÓ ÜLLŐ,,911330114,,,,,Új,
ME.911270246,FIX ÜLLŐ,,,Saruzófej Alkatrész,Mecal,,FIX ÜLLŐ,,911270246,,,,2024. 09. 01.,Új,
ME.911340106,ELSŐ ÜLLŐ TARTÓ,,,Saruzófej Alkatrész,Mecal,,MOZGÓ ÜLLŐ TARTÓ,,911340106,,,,2024. 09. 02.,Új,
